id,name,age,monthly_income,monthly_debt,employment_years,credit_history_months,late_payments_12m,previous_default,loan_amount,loan_term_months,collateral_value,months_with_bank,avg_balance_3m,num_bounced_checks,num_active_loans
1,مشتری_عالی,35,180000000,10000000,12.0,120,0,0,400000000,36,0,96,120000000,0,0
2,قسط_بالا,29,55000000,12000000,4.0,36,1,0,800000000,24,0,24,5000000,1,1
3,بدهی_زیاد,40,70000000,60000000,10.0,96,0,0,200000000,36,0,90,2000000,0,3
4,سابقه_نکول,45,120000000,20000000,15.0,150,2,1,300000000,36,200000000,120,40000000,0,1
5,داده_مشکوک,25,80000000,10000000,20.0,40,0,0,200000000,36,0,30,10000000,0,0
6,وثیقه_قوی,38,90000000,15000000,9.0,84,0,0,600000000,48,900000000,60,35000000,0,1
7,حسین,30,21723000,6252685,7.9,166,0,0,127735326,48,0,152,2358688,0,0
8,نیلوفر,26,57302000,10492808,4.2,171,4,0,854400578,18,580253415,171,4072042,2,4
9,امیر,24,31946000,9168177,3.3,52,2,0,179510212,36,0,33,9918186,0,2
10,نگار,28,69088000,34156317,5.6,7,0,0,586583740,60,0,0,18764804,1,1
11,کیان,61,60403000,20611088,13.1,94,1,0,448459815,60,0,81,9929782,1,0
12,زهرا,56,91853000,36984705,23.4,15,0,0,511482397,48,541643660,2,2665658,0,0
13,پارسا,22,41384000,23083839,2.8,119,2,0,249518468,24,0,119,7030680,1,2
14,الهام,53,26457000,7809542,31.6,4,0,0,136855930,18,0,0,18206146,0,0
15,بهنام,31,70323000,15214657,11.5,54,1,0,486754828,60,0,40,49146234,0,0
16,سینا,37,142480000,20852034,11.9,57,0,0,976250818,12,0,44,76944047,3,2
17,پریسا,25,47888000,13563264,2.6,172,2,0,358786505,12,352908598,163,44770827,0,0
18,آرمان,46,66805000,17106351,6.5,129,2,0,270318617,18,95877809,124,14398164,0,0
19,نازنین,65,79205000,21667099,9.4,128,1,0,256303966,48,0,110,51092138,2,1
20,یاسمن,36,121645000,53977384,10.7,104,0,0,574777138,24,116339573,95,11048087,1,2
